,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
1,FTW,42.0,Paul Birch,1951-52,2.0,0.0,2.0,0.0,66,29.0,37.0,0.439,4.0
2,FTW,43.0,Paul Birch,1952-53,8.0,4.0,4.0,0.5,69,36.0,33.0,0.522,3.0
3,FTW,44.0,Paul Birch,1953-54,4.0,0.0,4.0,0.0,72,40.0,32.0,0.556,3.0
4,,,Paul Birch,Career,14.0,4.0,10.0,0.28600000000000003,267,120.0,147.0,0.449,
0,IND,41.0,Larry Bird,1997-98,16.0,10.0,6.0,0.625,82,58.0,24.0,0.7070000000000001,2.0
1,IND,42.0,Larry Bird,1998-99,13.0,9.0,4.0,0.6920000000000001,50,33.0,17.0,0.66,1.0
2,IND,43.0,Larry Bird,1999-00,23.0,13.0,10.0,0.565,82,56.0,26.0,0.6829999999999999,1.0
3,,,Larry Bird,Career,52.0,32.0,20.0,0.615,214,147.0,67.0,0.687,
2,NJN,40.0,Bill Blair,1982-83,2.0,0.0,2.0,0.0,6,2.0,4.0,0.33299999999999996,3.0
14,MIN,52.0,Bill Blair,1994-95,,,,,82,21.0,61.0,0.256,6.0
15,MIN,53.0,Bill Blair,1995-96,,,,,20,6.0,14.0,0.3,5.0
18,,,Bill Blair,Career,2.0,0.0,2.0,0.0,108,29.0,79.0,0.26899999999999996,
0,CLE,55.0,David Blatt,2014-15,20.0,14.0,6.0,0.7,82,53.0,29.0,0.6459999999999999,1.0
1,CLE,56.0,David Blatt,2015-16,,,,,41,30.0,11.0,0.732,1.0
2,,,David Blatt,Career,20.0,14.0,6.0,0.7,123,83.0,40.0,0.675,
5,ORL,,James Borrego,2014-15,,,,,30,10.0,20.0,0.33299999999999996,5.0
9,CHO,,James Borrego,2018-19,,,,,73,34.0,39.0,0.466,3.0
10,,,James Borrego,Career,,,,,103,44.0,59.0,0.42700000000000005,
0,NYK,28.0,Vince Boryla,1955-56,,,,,21,9.0,12.0,0.429,4.0
1,NYK,29.0,Vince Boryla,1956-57,,,,,72,36.0,36.0,0.5,4.0
2,NYK,30.0,Vince Boryla,1957-58,,,,,72,35.0,37.0,0.486,4.0
3,,,Vince Boryla,Career,,,,,165,80.0,85.0,0.485,
5,NOH,48.0,Jeff Bower,2009-10,,,,,73,34.0,39.0,0.466,5.0
6,,,Jeff Bower,Career,,,,,73,34.0,39.0,0.466,
14,CHI,,Jim Boylan,2007-08,,,,,56,24.0,32.0,0.429,4.0
19,MIL,,Jim Boylan,2012-13,4.0,0.0,4.0,0.0,50,22.0,28.0,0.44,3.0
25,,,Jim Boylan,Career,4.0,0.0,4.0,0.0,106,46.0,60.0,0.434,
19,CHI,,Jim Boylen,2018-19,,,,,50,16.0,34.0,0.32,4.0
