,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
143,SEA,44.0,Bernie Bickerstaff,1989,8.0,3.0,5.0,0.375,82,47.0,35.0,0.573,3.0
144,SEA,45.0,Bernie Bickerstaff,1990,,,,,82,41.0,41.0,0.5,4.0
145,DEN,50.0,Bernie Bickerstaff,1995,3.0,0.0,3.0,0.0,32,20.0,12.0,0.625,4.0
146,DEN,51.0,Bernie Bickerstaff,1996,,,,,82,35.0,47.0,0.4270000000000001,4.0
147,DEN,52.0,Bernie Bickerstaff,1997,,,,,13,4.0,9.0,0.308,5.0
148,WSB,52.0,Bernie Bickerstaff,1997,3.0,0.0,3.0,0.0,35,22.0,13.0,0.629,4.0
149,WAS,53.0,Bernie Bickerstaff,1998,,,,,82,42.0,40.0,0.512,4.0
150,WAS,54.0,Bernie Bickerstaff,1999,,,,,32,13.0,19.0,0.406,6.0
151,CHA,60.0,Bernie Bickerstaff,2005,,,,,82,18.0,64.0,0.22,4.0
152,CHA,61.0,Bernie Bickerstaff,2006,,,,,82,26.0,56.0,0.317,4.0
153,CHA,62.0,Bernie Bickerstaff,2007,,,,,82,33.0,49.0,0.402,4.0
154,LAL,68.0,Bernie Bickerstaff,2013,,,,,5,4.0,1.0,0.8,3.0
156,HOU,36.0,J.B. Bickerstaff,2016,5.0,1.0,4.0,0.2,71,37.0,34.0,0.521,4.0
157,MEM,38.0,J.B. Bickerstaff,2018,,,,,63,15.0,48.0,0.238,5.0
158,MEM,39.0,J.B. Bickerstaff,2019,,,,,74,30.0,44.0,0.405,4.0
160,PIT,37.0,Paul Birch,1947,,,,,60,15.0,45.0,0.25,5.0
161,FTW,42.0,Paul Birch,1952,2.0,0.0,2.0,0.0,66,29.0,37.0,0.439,4.0
162,FTW,43.0,Paul Birch,1953,8.0,4.0,4.0,0.5,69,36.0,33.0,0.522,3.0
163,FTW,44.0,Paul Birch,1954,4.0,0.0,4.0,0.0,72,40.0,32.0,0.556,3.0
165,IND,41.0,Larry Bird,1998,16.0,10.0,6.0,0.625,82,58.0,24.0,0.7070000000000001,2.0
166,IND,42.0,Larry Bird,1999,13.0,9.0,4.0,0.6920000000000001,50,33.0,17.0,0.66,1.0
167,IND,43.0,Larry Bird,1900,23.0,13.0,10.0,0.565,82,56.0,26.0,0.6829999999999999,1.0
169,NJN,40.0,Bill Blair,1983,2.0,0.0,2.0,0.0,6,2.0,4.0,0.333,3.0
170,MIN,52.0,Bill Blair,1995,,,,,82,21.0,61.0,0.256,6.0
171,MIN,53.0,Bill Blair,1996,,,,,20,6.0,14.0,0.3,5.0
